,Player,Pos,Tm,GP,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FPG,FG,FGA,3P,3PA,FT,FTA,TS%,PRF
298,Kyle Anderson,PF,MIN,4,0,23,6.2,3.8,3.2,0.2,0.5,2.5,1.8,8,19,0,2,9,12,51.0,9.599999999999998
299,Kyle Kuzma,PF,WAS,4,4,30,20.0,4.5,3.2,0.0,0.5,2.8,2.5,32,79,12,30,4,4,50.0,22.9
300,Kyle Lowry,PG,MIA,4,4,26,8.5,4.0,4.2,1.2,0.2,1.0,3.2,12,24,6,15,4,4,66.0,13.899999999999999
301,Kyrie Irving,SG,DAL,4,4,30,23.2,2.8,5.2,1.8,0.8,1.5,1.0,31,69,11,28,20,23,59.0,31.299999999999997
302,LaMelo Ball,PG,CHO,3,3,37,30.0,5.7,7.3,2.0,0.0,5.3,4.0,30,73,10,27,20,22,54.0,35.7
303,Lamar Stevens,PF,BOS,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0.2
304,Landry Shamet,SG,WAS,4,0,15,7.8,0.8,1.0,0.2,0.0,0.2,1.2,12,26,6,18,1,2,58.0,8.4
305,Larry Nance Jr.,C,NOP,2,0,17,2.5,4.0,0.5,0.0,1.5,1.0,1.0,2,4,0,1,1,2,51.0,6.5
306,Lauri Markkanen,PF,UTA,4,4,32,19.5,6.5,0.2,1.2,1.2,0.8,1.8,25,53,9,29,19,22,62.0,25.999999999999996
307,LeBron James,PF,LAL,6,6,30,26.8,7.5,8.2,1.5,0.2,2.5,1.5,57,97,20,32,27,35,72.0,40.2
308,Leaky Black,SF,CHO,2,0,2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,2,0,1,0,0,0.0,0.3
309,Leonard Miller,SF,MIN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
310,Lindell Wigginton,PG,MIL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
311,Lindy Waters III,SG,OKC,2,0,8,2.0,0.0,0.7,0.0,0.0,0.0,0.3,2,5,2,5,0,0,40.0,2.4000000000000004
312,Lonnie Walker IV,SG,BRK,4,0,19,12.2,2.8,2.0,0.5,0.8,1.2,0.5,19,37,8,18,3,4,63.0,16.6
313,Luguentz Dort,SF,OKC,4,4,26,11.5,4.2,0.8,1.0,0.5,1.0,3.8,14,28,10,14,8,11,70.0,13.2
314,Luka Dončić,PG,DAL,4,4,33,33.8,6.8,6.2,0.8,0.2,4.5,1.5,48,90,18,35,21,25,67.0,41.8
315,Luka Šamanić,PF,UTA,1,0,2,0.0,0.8,0.2,0.0,0.0,0.2,0.2,0,3,0,2,0,0,0.0,0.6000000000000001
316,Luke Kennard,SG,MEM,4,0,20,6.0,3.8,1.2,0.2,0.2,0.0,0.8,9,28,5,18,1,1,42.0,10.599999999999998
317,Luke Kornet,C,BOS,4,0,15,5.8,4.4,0.8,0.6,2.0,0.6,1.6,13,19,0,0,3,3,57.0,11.4
318,Malachi Flynn,PG,TOR,4,0,16,4.5,1.2,2.0,0.5,0.2,0.8,1.0,6,16,3,8,3,4,51.0,6.599999999999999
319,Malaki Branham,SG,SAS,4,1,22,8.2,1.0,1.8,1.0,0.0,1.0,1.2,15,43,0,16,3,4,37.0,9.8
320,Malcolm Brogdon,PG,POR,1,1,24,19.0,1.0,5.0,0.0,0.0,2.0,2.0,6,14,4,5,3,4,60.0,21.0
321,Malcolm Cazalon,SG,DET,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
322,Malik Beasley,SG,MIL,6,6,30,11.7,5.3,1.5,0.0,0.5,0.3,2.7,26,53,18,37,0,0,66.0,16.0
323,Malik Monk,SG,SAC,5,0,28,18.2,2.8,4.4,1.2,0.2,2.4,2.0,33,66,19,36,6,6,66.0,22.4
324,MarJon Beauchamp,SF,MIL,5,0,14,5.4,3.4,1.2,0.2,0.2,0.2,1.8,9,19,5,9,4,9,59.0,8.399999999999999
325,Marcus Morris,PF,PHI,3,0,8,0.7,1.7,0.3,0.0,0.0,0.0,1.3,1,4,0,2,0,0,26.0,1.3999999999999997
326,Marcus Sasser,PG,DET,4,0,15,3.8,1.0,1.2,0.0,0.0,0.0,1.2,5,23,1,12,4,4,31.0,4.8
327,Marcus Smart,PG,MEM,4,4,28,7.8,1.5,2.5,1.0,0.5,2.2,2.2,11,36,2,18,7,7,40.0,8.900000000000002
328,Mark Williams,C,CHO,4,4,27,13.8,14.8,1.2,0.8,0.0,0.0,1.2,24,42,0,0,7,12,58.0,29.400000000000002
329,Markieff Morris,PF,DAL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
330,Marques Bolden,C,MIL,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.5
331,Marvin Bagley III,C,DET,4,2,18,10.5,6.2,1.2,0.2,1.2,1.8,1.2,18,27,0,0,6,6,71.0,16.299999999999997
332,Matisse Thybulle,SF,POR,3,0,22,3.7,2.7,0.7,1.0,0.3,0.7,1.0,4,10,3,9,0,0,56.0,6.700000000000002
333,Matt Ryan,SF,NOP,3,0,18,5.0,1.3,0.0,0.7,0.0,0.3,0.7,5,15,5,11,0,1,49.0,6.0
334,Max Christie,SG,LAL,5,0,10,3.5,1.5,1.0,0.5,0.2,0.3,0.8,9,18,3,9,0,2,46.0,5.6000000000000005
335,Max Strus,SF,CLE,5,5,38,15.0,3.6,3.4,1.8,1.0,1.2,2.2,27,62,14,36,7,10,56.0,21.400000000000002
336,Maxwell Lewis,SF,LAL,3,0,3,0.6,0.2,0.2,0.0,0.0,0.2,0.0,1,5,1,2,0,0,18.0,0.8
337,Michael Porter Jr.,SF,DEN,4,4,34,16.5,8.0,0.5,0.5,1.2,1.0,2.2,28,57,10,30,0,3,57.0,23.5
338,Mikal Bridges,SF,BRK,4,4,32,18.8,5.5,3.2,1.0,0.0,3.2,1.8,30,62,8,22,7,9,57.0,23.5
339,Mike Conley,PG,MIN,4,4,32,9.8,2.5,7.8,1.0,0.0,1.5,1.8,12,34,9,20,6,6,53.0,17.8
340,Mike Muscala,C,WAS,1,0,3,1.2,0.2,0.2,0.0,0.0,0.2,0.2,2,5,1,4,0,0,12.0,1.2
341,Miles Bridges,SF,CHO,2,1,32,15.0,4.5,3.0,2.0,0.5,2.0,1.5,11,25,4,8,4,5,55.0,21.5
342,Miles McBride,PG,NYK,4,0,4,1.6,0.2,0.2,0.2,0.0,0.0,0.4,3,5,2,4,0,0,64.0,1.8000000000000003
343,Mitchell Robinson,C,NYK,5,5,27,3.8,8.8,1.0,1.2,1.6,1.2,2.0,9,20,0,0,1,5,43.0,13.200000000000003
344,Mo Bamba,C,PHI,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
